No,日付,店名,元データ
15,,タクシー代,"領収書
各農Ξ県量λ;暴::,ヨξ∴″。
(現金,チケット,クーポン,カード)
乗車料金       1400円

運賃料金計

1400円

三=:」匡
百:
,讃不膵

Fヨ
0%

■4(D(D
lC)

日本交通株式会社  登録番号:T1011501015889

會日本交通 赤羽営業所口i::1蔀ロ
お忘れ綺は、忘れ絢検素サービスFindへ ::∥]:い::出:,:
QRを読み込み、Lineからお間ヽヽ合わせ  :11:苦!雌::|:::|:
その亀はカスタマーサポートデスクヘ籠∥::`:ご:11■::
IEL:050(3173)9200平日9:00～17:00~``Ⅲ・.=r"
16,2025/04/01,タクシー代,"3頁

4又  ヨE
2025年04月01日

2736
賃

付番本
日車基△ロ

運
:|
||

￥800¨

(内消費税等

￥72-)

一一一――内訳―

ネツト決済S    ￥800-
注文番[3   M00064766705

二豊l摯番号:[a,11●(りk,UOし('9
kmクル ′ 111+父●4`ヽ=:1

忘れ綺 預収苦尚at' 0:」39b6 3111
お客構IU談す 1∥′ll 11′039

km呼ふなぃ
「S.RIDE」
ダウンロード用ORコード

辮

くすし｀｀]―卜｀｀>
A42-4184-1594
(営業回数7656)"
17,2025/03/02,,"LAIW日□N

新宿靖国通店
登録番号;T2010701019195
東京都新宿区歌舞伎町1-1-1
6
電話;03-3200-3963 店コード「164256
2025年3月2日(日)17:30
レガ;#337056   責:セルフレジ
【令百∥又言コE~】
サントリーテンネンスイ550Mに    127軽
アサヒミンティアプリーrグレーフ°  227輌量
フッテオインイハ・スタサラタ""マセ'ソlド.     397中墨
峯卦 言十     ￥751
(内消費税等        Y55)
(0%対象      Y751)
(内消費税額    Y55)
点   数        3個
上記正に領収いたしました
お預り合計       ￥1,051
」S 10句    ￥300
軽印は軽減税率対象商品です。"
18,2025/02/20,,"LA:W日口N

H中野サンブライト店
登録番号;T7030001118245
東京都中野区本町2-46-1
電:辞03-3372-1250 店コード:214770
2025年2月20日(金)15:27
レガ:#224179   責;セルフレジ
【令面収言IE】
手巻紅鮭マヨネーズ   167軽
サントリーシー.シー.レモン600ML
160   1131 1イ囲    149軽
LWふわサクっ|メロンハ°ン  127軽
峯野  言十      ￥443
(内消費税等        V32)
(0%対象      Y443)
(内消費税額    V32)
点   数        3個
上記正に領収いたしました
PayPay                     Y443
軽印は軽減税率対象商品です。

PayPay
ご利用額

￥443"
19,2025/02/23,,"LAIW日口N

船橋芝山店
登録番号;T2040002024101
千葉県船橋市芝山2-1-5
電:舌;047-460-4139 店コード:143366
2025年2月23日(日)06:50
レツ・;#251300   責;05504627
【令更■又言IEI】
ニッシンルーメシヒ“-7     209軽
ホ°ッカコンカ￢ナハ°ンチョウモリクラム  240中墨
Lmメン材モリツース綺ソハ''   198市星
肉まん 1コ        170軽
峯卦  言寸~      ￥905
(内消費税等        V67)
(0%対象      Y905)
(内消費税額    V67)
点   数        4個
上記正に領収いたしました
お預り合計      ⅥO,005
オS  金勺    ￥9,100
軽印は軽減税率対象商品です。"
20,2025/02/19,,"〓=Fam∥vMart
東新宿明治通り店
東京都新宿区新宿6-29-5
1口l言舌: 03-5291-6087
登録番号:T9810130491885
領 収 証
2025年1 2月19日
オヨ底
￥■93■0-

8%
(内

<本証取扱
財布等に入
面を内側に
レシ゛ 1-3737

対象持帰食品等
消費税等

￥1,310
￥97)

但し
上記正に領収いたしました

い上のお願い>
れ保管される場合、印字
折つて保管して下さい。

J彗:Ncl.036"
21,2025/02/19,ファミリーマート,"〓=FamilyMart

東新宿明治通り店
東京都新宿区新宿6-29-5
電言舌: 03-5291-6087
登録番号:T9810130491885
2025年2月19日(水)1:20
レシ゛1-5650         責No.036

領  収  証

ソースやきそば超大盛
厚切大根
味付たまご
結び白滝
三角こんにやく
厚揚
だし巻玉子
焼ちくわ
あらびきウインナ
子≧ 言十
( 8%対象
(内消費税等
お 預 り
お   釣
「軽」は軽減税率対象

軽軽軽軽軽軽軽軽軽0>>00
703030303030303030■1097■￥o
21111111133￥3 1
￥￥￥￥￥￥￥￥￥t, ´c 一s
●粗  り で
■  ■ 品
￥  ￥ 商"
22,2025/03/08,,"炒セフコンロイツフコン
ダ、三FLft糸最,ゎヾI■ョヒJ口野
千葉県八千代市緑が丘西1-11-
3
電話:047-481-8333  レデ#2

事業者登録番号T4010401017885
2025年03月08日(土)22:23 責130

令頁■叉=■辞

5種具材の春雨サラタ゛
親子丼
喜多方チャーシュー麺

*198
*480
*598

小 計(税抜8%)  ￥1,276
消費税等(8%)    ￥102
峯卦 言十    ￥■。378
(税率8%対象     ￥1,378)
(内消費税等8%     ￥102)
お 預 り    ￥29000
お   釣      ￥622
お買上明細は上記のとおりです。
[*]マークは軽減税率対象です。
イ云界司番号     250-308-258-6434

|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||∥|"
23,2025/02/15,セブンイレブン,"ロセフ=ンロイリフ・ン
八千十t漁豪が_I■■ヒJ苫
千葉県八千代市緑が丘西1-11-
3
電言舌: 047-481-3333    レシ゛111

2025年02月15日(土)06:33 責021
チケット等払込領収書

お客様控

池田 育生

様

￥■2.600-
払込先名  セブンドリーム
お客様用連絡先
0077-787-711
払込票番号
2335-9~723-4694‐7
2025年02月■_5日"
24,,セブンイレブン,"炒セプン‐イレフ`ン
八―千代緑が丘北J■5
千葉県八千代市緑が丘西1-11-
3
電言舌:047-481-8333    レシ゛#2

事業者登録番号T4010401017885
20251年03月02日(日)00:06 ]贄046

令頁■又|■辟

シ゛ックリニコンタ゛ミートソースハ°スタ
ニンニク醤油の温玉唐揚げ丼
7フ・レミアムフレッシュ|ヽ｀｀ナナ
7フ°レミアム シーフート゛ヌート｀｀ルBIG
7P きつねうどん
7P 天ぶらそば
7プレミアム醤油ヌードルBIG
7P大きなシフォンケーキ生チョコ
7プレミアム関西風肉うどん
|ヽ゛イオ50レデ袋特大1枚

*370
*598
*220
*198
*158
*158
*198
*208
*158
5

小 計(税抜8%)  ￥2,266
消費税等(8%)    ￥181
小 計(税抜10%)     ￥5
≦卦 言十    ￥2ヮ452
(税率8%対象 _―― ￥2,447)
(税率10%対象       ￥5)
(内消費税等8%     ￥181)
お 預 り    ￥3.357"
25,2025/02/28,,"靡セフ`ン可晟″`ン

渋谷中央街店
東京都渋谷区道玄坂1--3-3

電言舌:03-3464-530(3    レシ゛#2

事業者登録番号T6810267613504
2025年02月28日(金)20:44 責026

令頁 _L[叉 =■『:

代理受領手数料

440込

小 言十(税込10%)    ￥440
子卦 言―十      ￥440
(税率10%対象      ￥440)
(内消費税等10%     ￥40)
お買上明細は上記のとおりです。
公共料金・インターネットショッヒ°ンク゛等の
受付明細は下記のとおりです。
収納代行SMCC(SMBCFS)    1件
言+ 1件
※インポイスの発行はお客様から
サービス事業者にお問合せ下さい。"
26,2025/01/21,セブンイレブン,"Ⅲセフ`ンロイツフ・ン

八千代中央駅南店
千葉県八千代市萱田2241-16

電話:047-487-2715  レデ#1

事業者登録番号T8810063446528
2025年01月21日(火)19125 貴371

令頁_Ц又」■『

キムチナベ
炭火焼き鳥丼
サントリー天然水  550ml
7フ・レミアム'毎老チリ
甘辛鶏唐揚げの|ヽ・スタサラタ゛
7P]―ンスーフ・
|ヽ゛イオマスレデ袋大1枚

*428
*550
*118
*298
*338
*238
3

小 計(税抜8%)   ￥1=970
消費税等(8%)    ￥157
小 計(税抜10%)     ￥3
≠卦 言十    ￥2.■30
(税率8%対象     ￥2,127)
(税率10%対象       ￥3)
(内消費税等8%     ￥157)
お 預 り    ￥2,■30
お   釣        ￥0
お買上明細は上記のとおりです。
[*]マークは軽減税率対象です。
■■■目」L』]        つ民n_1つ1_10^_ИnИn"
27,2025/01/03,セブンイレブン,"炒セフ′ンロイリフ`ン

船橋坪井町店
千葉県船橋市坪井東3丁目13番1
8号
電言舌:(〕47-456-7182    レシ゛#2

事業者登録番号T1040001042152
2025年01月03日(金)04:58 責459

令頁■li又:■r:

*598111
*238日||
-30
*480
-30
*160
-22
*428
*118
*148
*208
￥2,378)
-82)
-82

7Pおでん大盛り
7Pコーンスーフ°
値引額
カレーうどん
**詢由31**
カルヒ・スウォーター       500ml
値引額
キムチナベ
7P コイキウイサイタ゛- 500ml
7Pきみだけのプリン959
7フ°レミフムハ°イナリフ°ル
(商品代金
(値引合計
税率8%対象

小 言十(税抜8%)  ￥2,296
消費税等(8%)    ￥183
≠卦 言十    ￥29479
(税率8%対象     ￥2,479)
r月ヒl゛lg■島`当歯亡 。。∠          vl。●、"
28,,,"まぜそば渋谷チョップス
東京都渋谷区宇田川町26-3サンルビルE室
TEL03-5428-1520
登録番号T7010901025591

領 収 証

レシート1413155
店舗10002   端末#41
2025/02/27(木) 21:19
ラーメン 肉 大
@ニンニク少ない
@あぶら少なめ

￥1,430

呼出番号 130

△
Eコ
お預
お

計
り

釣

￥1,430
￥5,000
￥3,570

(税率10%対象額
(内消費税等10%

￥1,430)
￥130)"
29,,,"まぜそば渋谷ショップス
東京都渋谷区宇田川町26-3サンルビルE室
TEL03-5428-1520
登録番号T7010901025591
領 収 証

レシート1413157
店舗10002   端末#41
2025/02/27(冽ヽ)   21:23
釜玉肉 特大
@醤油ベース
@温泉たまご
@ニンニク普通

￥1,180

呼出番号 132

合計
お預り
お 釣

nununυ
00Aυつ乙
11貫J2υ
,  ,V十

VTVT

(税率10%対象額
(内消費税等10%

￥1,180)
￥107)"
30,,,"2025.04.02

領収書

￥930-
(消費税含む)
但し、上""この金釉正に受蝕いたしました

円 円 円 円円円円

%%

00 27 28 28通 彙税
0000郊0000 000〇一〇〇〇0.点欄粗
00ツ∞ん00<00スー課内
∞力00ど00通00イ計内
00温∞う00■00ラ合<<

富士モば古祥寺店

事業者名:ダイタンディッシュ株式会社
登録番号:T8011001131684"
31,,,"山岡家挟山店
埼玉県狭山市鵜の木22-31
TEL 04-2'55-9123
登録番号 T9-4300-0101-7223

領 収 証

領収証# 004314
店舗10229   端末#42
2025/04/29(火)   06:19
特味噌ラーメン
@普通
チャー丼

￥830
￥370

計

お 釣

￥1,200
￥5,000
￥3,800

り

お預

(税率10%対象額
(内消費税等10%

￥1,200)
￥109)

ご利用ありがとうごさいました。"
32,2025/02/15,,"2025年 2月15日(■)18.:56 013号機

スムースデケット 大観質軍
スムースチケット 大観質軍
Sky―Go―LAND2人分

44諄_上
Eコロ:

領収讐
下記金額を領収いたしました。

(10%対象
内消費税
( 3%対最
内消費税
※印は軽減税率

.      ●リーーローロコ
轍槽轍.喘洲.岬瑚鋼岬獅
醜‐00X鵬・一Щ劉2 ,棚
5‐5C     ‐
C。∝ご〔∠,    ―

お預り
おつり

10,1000円
7,1400円

観覧車2
(株)よみう
東京都稲城市
044-96
丁50134

012
ド410
ンロー0
ラ野一1
り矢60

5

62"
33,2025/03/04,,"鵬
2025年03月04日 05時41分  01号機

*軽減僻1職
午めレl哺
生王子

(稿b)
￥400-
￥90-

111
1枚

舗
標準税率対象(10%)

2枚

￥490-
￥490-

1滞岨l
聡
(株)松屋フーズ新宿3丁目店

TEL

И■
工t

ワー∩ヨ
7100
メサ00

一 1■
00AV
04ス仕


一 AV
AV00
00甲1

登録番号

00"
34,,,"25`-2115   18:56
【領収書】
スムースチケット
￥500-
紛失時無効/返金不可
発行当日に限り有効
1名様1回限り
※本券のみで乗軍不可  切取
東京t;稲城市矢野□4015-1
(株)よみうリランド   観覧軍2

251-2115   18:56
【領収書】
スムースチケット
￥500-
紛失時無効/返金不可
発行当日|[限り有効
l名様1回限り
来本券のみで乗軍不可  切取
東京都稲城市矢野□4015-1
(株)よみうリラント:   観質軍2

25,-2.15   18:56
【領収書】
Sky―Go―LAND"
35,,,"=Lル   トじハ   訓卜r

ボい・団ωO‐
j富“「国コ劇叫酬「――――――――――
蔵c´ヽ髯""お●C^卜蘭Ha哺蠅,計●叫c計・

碑け叫゛〕住む瀬劇翔□市N麟語
河河書漱酬図当副ω‐8占ヽ
Oω‐いωOЮ‐〇∞ЧO
熙輸中中]『888口舘器o

※
曲晋翠
蟷迦針
剛副∥
溺饂綺
首】碑
由自研

C肩≧"
36,2025/01/26,,"①
●むマ""-7

領収証

様

￥41 081-

囚消費税笠_
(お支払内訳)
現金______

￥371-

￥41081-

個し、

として上記正に領収いたしました
2025年011月26日
株式会社すかいら一くレストランツ
東京都武蔵野市西久保1丁目2調闘号

術陰刺t"
37,,,"領収書

様

[証紙切手引受]
第一種定形外(規格

27.
￥1

5g
40

0140

内)
通

1

小計

￥140

第一種定形外(規格内)
0510     2通

270
￥1,

.Og
020

小計

￥1,020

通60D判

1■￥■
VT

数
通 つ
計10
船肯
饒

A卦
ロロ|
お預り金額

￥1,160

￥1,210

￥50

2-3-1
2577
9日 17:32

||∥∥∥∥|∥||||∥∥∥∥|∥∥∥∥|∥∥∥∥!||∥||:∥:|||∥∥!|||∥∥∥∥|||!|∥||

会社

おつり

￢|=100-8792
東京都千代
登録番号
取扱日時:

田

Tl

1

202"
38,,,"1:||| |1鷹l言正

:rl13,41]∥3-
~~~ル1■71■1111111おヨ:U「~~~~~
tl食事1li(|して

):確::中完ザヽ::,|.献「
'1!「:嗜||1泄“||::111「田川町19-|:
||||_0〔|-517■|||161
c i773‐¨

:拝 ′三| |(
1サ11,1、′|た、_11‐″[

一じ

.上言II□

|||]|llい)tiキll:「|||‐1
付‐〔::Dさ111:||
;|:IIti`;撃1節子〈liil,1,

株|:鵡:や社
―ナイ￢:′リヤ'本ネ1:
:ヨi吾1詭|:_15

:1言|`l ilヨ帳~|10301i-0106E1552"
39,2025/01/03,,"INCUBE
◆
*領」又言正ネ
ヨ∥晨口[1■:T1290001019340
八千代緑が丘店  047-480-4888

雑貨館インキューフ゛八千代緑が丘店では
ステーショナリー・家庭用品・美容雑貨など
生活に「ちょつといいな」を添える
雑貨を約3万点取り揃えております
「*」印は軽減税率8%適用商品です
2025年01月03日(金)18:01 レデ0101

貴No0006134861343
4582356617300JAN
071210 ロム&Gウォータ￥11100
8809563930463JAN
071211 エスポア ボリュ￥3,000
小計           ￥4,100
(外10税  タイショウ   ￥4=100)
外10税              ￥410
合計        ￥4。5■0
お預り            ￥5,010
お釣り         ￥500
お買上点数   2点
返品交換は未使用未開封の状態で、
14日以内にレシートと併せて
ご購入店舗までお持ちください。
商品に不具合があつた場合は、
フB“■「LO彙士・スッ■由崚々ノ■‐ヤ1、"
40,,,"EnJlbt

11番地3

書れ 刊
収ジェs醜33
頁一SS丘83
一一0丘が1.
融帥赫呻
〇八八I

―ションズ

曇受1景:僣目:‐「;:T4010401017885
2025/01/05([ヨ)19:07
翡嬌エフリー   様
30-0256002-000007      0256 0000
売上  現金フリー      手
レギュラー
110100                      ￥6722
39.31L     0171.O  L- 3 N- 7

小計
(10%対象
内消費税
子卦言十
お預かり ￥10000
上記にて領収書と
ENEOS公式アプリI

￥6,722
￥6,722
￥611)
￥6,722
お鉢〕   ￥3278
させて頂きます
D     0013607334
日はナナコの日
円お買い上げで
円/L
卜!!開催日↓
7日25日2フ日

く03ンーヽ―′
つ0油ゼ日“
の7軽レ5
5でヽプー
と1ン券日(
71りき7¨
月一ソ弓日r
毎7ガ値5」"
41,2025/01/30,,"領ロロロ

様

金額 ￥8ヮ800-
但し_在費κ

2025年01月30日
上記まさに領収いたしました

内訳

::贅_)、
'iラ .
ヽlI`/

A'GEM/9渋谷店
東京都渋谷区神南1-23-10MAGNET by
SHIBUYA109 4F

として"
42,,,"領収書

0002-000〔
壬や言十日:2025/1/3(

様

領収金額

￥9,790-
(10%市熙準対象   ￥9,790)

上記正に領収いたしました

住型越_____墨2∠

YOSuKE O日t Of the"
43,,,"ヽN合ソ
｀tンノ

ri
S)

|口「
|りit
l:|「
|う｀′

レト .L   .L rヽ ]―
¨   ,II ¨     `r、. `肛I  Jll

´一,一■・ll硫製“■・    ■て‥′Cヽヽ.    「「油""

卜ヽ

離曲

い‐‐
胃

熱棚鎖熙餅滸硼cバ針c叫叫・

=一闘
邦呵Fr

口∥∥
F〒→"
44,,,"1,i  ll又  ド|

|111111111111111111111111∥ド||:||:∥lラ」|IJ

1ナンドilヽ:′:デ|1析・::li更:|り1古
::畜i営段番=計:11‐|1124-〔111〕0-0634
11:L.0、3-|](:166-5762
2〔)2[1年:11「|11:11)日(日)1,`:47TM
レウートN():l.111()|:‐3〔137●:)0(〕27〔1421

力1リブ|ノ11 ノシー‐fi′― P  '111650
C,R_ン| ノメ, 卜|′,I__::_′it卜. 、:1,430
ニベア11).,` ヽ|「I無番F  ￥305

務i力ヽフl liil‐||‐I:          ￥:|,385
■釜ョ‐:::‐l         ヽ1,131‐〔,85
']'肖]む1:ル||                ￥307
(1〔〕`5t,|:|:..   1‐.',[181i 11l   γ307)
よ)]リコ|_〕                 ￥:|,3185
261:i十`LII`_〕       ￥0

☆★ず、1,1′ 11.|・人|;:):蘇:r(11(☆
:!]そ)く:テi:|:1,lil(1詢`'る:'I、 Jた!II」終!

1士事内||:]:レブ、品出し
'勤務肝|キIII:|:|:01■´23100
時i含|||:∥∥〕 1(蔵‐1,::I:12/〔〕ン)
・女→卜|1111:1:日:「,六:1改;Шヂ`★"
45,2025/03/06,,"領収証

No.00005155

2025年03月06日
様

￥7, 51C10…

但飲食代として
ぃ日面Eに領収いたしました

鴨翻L⊥咀_

消費税等

￥681¨

ィ/〔L｀、
ヽ「7ノ

'ラ

―ボレーション

♭シートNo.10325270    (馬場)
1『」腱月彗|IH号:T1013301027734‐‐‐~´

―領収書明細―

部屋料金合計 内
10χ対象額 (内

,500
7,500)

lnγイゝi4・Zと“口百

7 民nn"
46,,,"商F

描 焙 珊

晉L8コ‐一 8圏柑N「
鰤一W一」一動工田¨縞叩・「∞〇一一一〇一〇一い一

(マで17嚇=NNc

′ヽ、ノ
=0

∞

´ご。日=・■藤讀LしEI)熙向錯・Cピー)

バノ

にN

く

拇―

劇―

ヽ)
『‥ ヽ′
OC

熱

V

S書

⊂辮∈瀞・

ヨ"
47,2025/01/30,,"令頁」又■『

様

お買い上げありがとうこざいます。

ALAND東京渋谷
東京都渋谷区宇田川町20-11
渋谷二葉ビルlF.2F
#0000002800             TEL 03-6452-5275

2025年01月30日(木)

19:34

●

〔〕言十
くお買い上げ〉
(10%対象   ￥4,677消費税
(現金

ALAND

￥5,144

￥467)
ギ10,144)

__二___代として

卜=コ iTI「争il●イヽ■|まl.ト

但し"
48,,,"En可|しt

令員■又喜許
(株)[N[0弓~ヅfネL′ニシヨンズ
八千イt縁が丘SS
八千代市緑が丘西1丁目11番地3
TEL:047-481-8333
登録番号:T4010401017885
2025/02/09(|ヨ)13:12
現金フリー  様
30-0256002-000007      0256 0000
売上  現金フリー      手
レギュラー
110100                      ￥6708
38.55L     0174.O  L- 5 N-13

ノ」ヽ言十
(10%対象
内消費税
≠卦言十
お預かり ￥10000
上記にて領収書と
ENEOS公式アプリI
毎月7と5のつく
7-11で700
ガソリン、軽油3
値引き券ブレゼン
5日7日15日1

￥6,708
￥6,708
￥609)
￥6,708
お釣  ￥3292
させて頂きます
D     0013607334
日はナナコの日
円お買い上げで
円/L
卜!!開催日↓
7日25日27日"
49,,,"/EON STYLE

イオンスタイル 幕張新都心
TEL043-351-8100 FAX043-351-8108

2025/3/9(日)  1

54   ♭シ｀0154

北註

￥396
￥31

“九“九
州姑

8χ対象額

領収証

合計
但し商品代として

￥427

現金等
上記金額正に領収いたしました
買上国2025/3/9
※本書保管上のお願い
財布。甲帳にはさんで保管いただく
場合、印字面を内側に折り保管
をお願いします。
領収証恥.:01548183

取8184担当15"
50,2025/02/18,,"***領収証***

2025年02月18日 『時05分

様

￥1,470

(内)肖費税,   ￥13Э

1酬対象
(標準税等

(現金

￥1,40
￥133)

￥1,70

上記正に領収いたしました。"
51,,,"|
離

鋭瑚c

(澁廓報

いω切コ中叶騨叫叫)

商∈′翼""力←⊂バ
州P00100NP
河河書獣瑚図響紳薄蜀P10lω
硼訓一¨oωloNo91鯛oNo               鵬一に
叶串州 当副鼎回融C静                    ――
贅 翠針=【蒲叫聾〈飾""´晋漱目【謝自口黙oバ蒲叫田τ叫叫。  8∞

∥ヤ

.ヽ
00
こ""

♪回  毎瀾  Ш日

ホP

■∞鯛―

NOM"
52,,,"園

」イコEコ|

楽天ポイントが1,まる1睫える!
www.dalkokudrug.com

ダイコクドラッグ 新宿3丁目薬
03-5312-7727

登録番号:Tl120001174292
No01:6095021642 ,苫0609端6095
25/02/16/目14:44ま旦057498国吉

令頁北又■辟

)kレシ゛フクロ
4700000800049
本体
biう°NKヒ゛コウ180
4901301373724特売価格
($)シンルルーAシ｀｀ョウs135T
2(♀17107673367
'セリンリッフ°10g
フ1♀i17036437016
小計 本体

￥,

￥2913

￥11591〕

￥3413
￥2124(3

:i:lよ:ilil    ￥2幸:',
讐翠i尋翁体￥2.4ア:|

_^_

禁覇'1

￥R nnin"
53,,,"〇
ひ史F""″

領収証

様

￥2_110二

凶i自宣独等__
(お支払内訳)

￥255-

現金________」と理Ω]_
但し、術1食割t
として上記正に領収いたしました
2025年01:月19日
株式会社すかいら一くレストランツ
東京都武蔵野市西久保1丁目2鷺部号"
54,,,"部一川 呂周 酬H

氷鯛

ω卜01

瑚＼調響    ャい・ωヽo
(濃珈慾 =         ヽ∞いコ餅ゆ伊叫叫)
商c″露""ルト⊂バ
州PO0100NN
河河費獣酬図当副ωlNωlPP 不】∽にヽマ
丼丼ゆ詳>へゝヘロ酬 回酬帥 漱鵡撤回融れ
「mF Oω100001ドヽOP
姜 翠針=【縮叫秘〈飾⇒´m「謙団バΣ塵再黙oバ蒲叫圏τ叫叫・

NOmm

苗鵬組
〇〇〇い‐"
55,,チャージ代,"バー

―キン

1000

領収書

お渡し番号
993
店舗へのお問い合1)せ
りliF詢] : 03-b489-5761

「Fa卜II〕]
.ズニ´ェー‐

量 1111111,11´
■ター                 一

【ワブ'ヽ・―JRセッ|ヽ】
〉ワッ,1'―JR
〉Mフレンチフライ
〉M,カヨーラ
キンク゛オニオンリンケ゛
【りヽ°千ギし卜】
〉ワッ)ヽ°一チースヾ
〉Lフレンチフライ
〉卜1コ,,コ´ラ
チ‐^ス゛ナケ゛ット8P BB0

爾1蒲勁0が採)

[交通系IC]

JE*xx*,

[カード番号  ]
:ち閣越畠ξせ番言]"
56,,,"領収書

領収金額

￥

(内)|

税抜10%
消費税等

上記正に領収い
耶BI自F月日:2025-02-0304:43:44
畑間渋谷店
豊瞥鋼罐E;号:T9013301033295
E口昂IB青間:2025-02-0304:43:45
)主3に電勝暑:250202-43"
57,,,"令頁 11又 擢夢
カラオケ館錦糸町店
F菫舎甫:66   No.06355          2025生「

金額

￥10,°

(内消費税額 10%)

現金

￥1

飲食代として上記正に領収いたしましフ
(注)金額を訂正したものは無効で1

作成地:東京者絲1東馬区向山4-1-1
会社名:株式会社B&V
TEL   :03-3970-1201
登録番号■8011101056286

E口静
付|
棚"
